,docdb_family_id,appln_id,appln_abstract
37,191401,22390833,"The thixotropic oils produced by the process of the parent Specification are replaced by oils obtained by interesterifying 1 molecular proportion of a drying or non-drying oil, for example varnish linseed oil, with 0,5-2,5 molecular proportions of a polyhydric alcohol, for example ethylene glycol, generally in the presence of a catalyst such as lithium naphthenate, and then reacting the product with a 'masked' organic diisocyanate obtained by the reaction of a diisocyanate with a phenol or a compound containing a reactive methylene group such as acetoacetic ester, or malonic acid or its esters, the 'masked' diisocyanate being present in an amount equivalent to the free hydroxyl groups present, and the polyhydric alcohol, the diisocyanate or both having a symmetrical molecular structure. The 'masking' compound used is preferably one, such as phenol, that is driven off at the reaction temperature leaving unmasked diisocyanate; suitable 'masked' diisocyanates are obtained by reacting 1 mole of 1 : 5-dimethyl-2 : 4-di-(o -isocyanatomethyl) benzene or hexane-1 : 6-diisocyanate with 2 moles of phenol. The thixotropic oils obtained may be used in combination with alkyd resins, unsaturated polyesters, and modified natural and phenolic resins.ALSO:Thixotropic oils are obtained by interesterifying 1 molecular proportion of a drying or non-drying oil, for example varnish linseed oil, with 0.5-2.5 molecular proportions of a polyhydric alcohol, for example ethylene glycol, generally in the presence of a catalyst such as lithium naphthenate, and then reacting the product with a 'masked' organic diisocyanate obtained by the reaction of a diisocyanate with a phenol or a compound containing a reactive methylene group such as acetoacetic ester, or malonic acid or its esters, the 'masked' diisocyanate being present in an amount equivalent to the free hydroxyl groups present, and the polyhydric alcohol, the diisocyanate, or both having a symmetrical molecular structure. The 'masking' compound used is preferably one, such as phenol, that is driven off at the reaction temperature leaving unmasked diisocyanate; suitable 'masked' diisocyanates are obtained by reacting 1 mole of 1:5-dimethyl-2:4-di(o -isocyanatomethyl) benzene or hexane-1:6-diisocyanate with 2 moles of phenol. The thixotropic oils obtained may be used; in combination with modified natural resins, as an addition to lacquers or enamels to prevent settling of pigment, and in clear or pigmented painting media."
38,191553,22260992,"<PICT:0965227/C4-C5/1> Device for use in determining ionization radiation, e.g. X or g radiations, dosages based upon the measurement of the luminous energy liberated in the heating of a thermoluminescent substance previously irradiated by the radiations to be measured, comprises a nickel tube 2 coated by vitrefiable enamel with a layer of a thermoluminescent substance, e.g. calcium fluoride, and containing an electrical conductor 3 connected by conductors 4, 5 and pins 7, 8 on the base of a glass envelope 1 to a supply circuit. The envelope 1 is provided with an opaque plastic casing 11 having a removable cover 12. The casing 11 can be provided on its inside or outside surface or within its material with a layer 13 for absorbing radiation, e.g. of lead of thickness between 0.5 and 1 mm., preferably 0.7 mm. This layer absorbs radiation of energy lower than about 0.5 MeV so that a substantially linear response of the device is obtained. The removable cover 12 can also be provided with such a layer. A thermocouple can be disposed within the envelope close to the thermoluminescent coating. The envelope 1 can be provided with a metallic reflector. In order to measure the light energy stored in the thermoluminescent material under the action of ionizing radiations the cover 12 is removed from the casing 11 and the envelope 1 removed and rapidly introduced into a light measuring instrument."
39,193059,508945961,"Process for obtaining a hydrophobic layer or independent elements in synthetic thermoplastic material for roofs, of flat or inclined type, characterized in that the layer is constituted by one or more sheets, of variable shape and dimensions, and of also variable thickness, obtained in thermoplastic, synthetic material, such as polyethylene, polyvinyl chloride and others, suitably treated to increase the characteristics of resistance to atmospheric agents, whose layers extend on the bottom bottom of building structures to be protected, so that it forms a continuous layer, impermeable and endowed with a high coefficient of elasticity, by the absence of bituminous products or no matter how, which crystallize with time. (Machine-translation by Google Translate, not legally binding)"
40,197003,17922812,"Installation for the advance of variable length of all kinds of articles, between two phases of an operating cycle, characterized by comprising, in combination, at least one horizontal conveyor; one or more vertical conveyors arranged and prepared in such a way that their ascending branches can remove the supports of articles that are in the upper branch of said horizontal conveyor and the lower branches can place said supports again on the horizontal conveyor; in relation to each vertical conveyor, a transfer device capable of passing a support carrying said articles to be treated, from the ascending branch to the descending branch; the transfer devices can be arranged at varying heights with respect to the horizontal conveyor and, from a single motor means and a purely mechanical kinematic link between the entrainment members, respectively the horizontal conveyor, vertical conveyors and transfer devices, such that a phase of stoppage of the vertical conveyors corresponds to a phase of movement, at the same time, of the horizontal conveyor and of the supports in transfer, and vice versa. (Machine-translation by Google Translate, not legally binding)"
41,199046,17938839,"Improvements in shelves for storing materials, characterized by comprising a pair of lateral assemblies, each with a pair of longitudinally extended longitudinal elements, arranged parallel in separation relation, and a series of vertical elements, separated, which extend between the longitudinal elements and they are fixed energetically to them; the internal edges of the longitudinal elements end towards the outside of the internal edges of said vertical elements, and a series of transverse elements longitudinally separated in the rack and extended between the lateral assemblies; the end portions of the transverse elements are attached to the side assemblies, adjacent to the bottom edges thereof, to form a unitary structure. (Machine-translation by Google Translate, not legally binding)"
42,201734,22168221,"Shaped articles are made by shaping at elevated temperatures a uniform mixture of a polymer of vinyl chloride, one or more monoethylenic monomers which are compatible with the polymer and a thermal polymerization inhibitor, and subjecting the shaped mixture to high energy ionizing radiation. The examples describe homogenizing mixtures of polyvinyl chloride and styrene containing dinitro-o-cresol or tertiary butyl-catechol, moulding the mixtures, and irradiating them with X-rays. Specifications 996,641 and 996,642 are referred to."
43,205313,21227869,"1,046,822. Vibrating systems. MENCACCI S. A. Feb. 25, 1965 [March 4, 1964], No. 8194/65. Heading A5R. A vibrator system for stimulating peristaltic movement includes a source of alternating current which is connected through a frequency regulator or timer 8 to a vibrator device which comprises a solenoid 4 surrounding a movable armature 3 terminating in a vibrator head 2. Spring 5 surrounds armature 3. The head 2 may act directly on the patient's backbone or as in Fig. 3 (not shown) the vibrator head 17 may act on bladder 15 communicating via conduit 14 with bladder 13, the bladders 13, 15 and conduit being filled with a gas or liquid, such that the bladder 13 does the impacting on the patient. The vibrator device may be incorporated in a belt the inside padding of which has a recess to receive the vibrator head or in the cover of a toilet bowl such that the vibrator head protrudes from the inside of the cover."
44,208674,480136456,"Mattress-cutter device, pneumatic, to supply the cards of material, comprising a drum, around which the veil coming from the comb is rolled to form a mattress, and which has two openers at its periphery to allow the mattress to be detached and the constitution of another new one, characterized in that the opening of the openers (25) is controlled by the rods (28) of some pistons, whose displacement in the cylinders (30), which are inside the drum (12), is controlled by an electropneumatic gate that produces the inversion of the arrival of air or other fluid under pressure to one or other end of the cylinder. (Machine-translation by Google Translate, not legally binding)"
45,209098,3333563,"A charge of powdered explosive (e.g. fibrous nitro-cellulose) is coated with a thin layer (12.5-50 mu) of an electrically conductive material (graphite, lead peroxide) whose resistivity (pref. 2-100 ohms) decreases with an increase in temp so that when a current is passed through the coating it heats up rapidly and ignites the charbe. The detonator which is used for e.g. shells or explosive bolts, is economic and operates consistently."
46,209182,3402112,"The device consists of a main body (21), elastic valve and extendable side arm (22) for usage of an injector without a needle. The extendable side arm (22) is fitted to one of the sides of the main body (21), and the valve component (23) is fitted in its hole and is pressed to the extendable side arm (22) in order to seal a tubular injection hole (211) in one of its ends. The protruding end of the syringe (40) exercises pressure on the valve component (23) bringing it to pressed state thus admitting the medicamentous solution in the feed-pipe (33A) of the main body (21) When there is no pressure, the elastic valve component (23) is in closed position, shutting the injection passage and thus no air can get into the feed pipe (33A) and cause embolism in the patient's blood vessels."
47,209489,4019907,"(4790) LIQUID PHASE PROCESS FOR THE MANUFACTURE OF METHYL TERTIARY ETHERS The present invention is a liquid phase process for the preparation of methyl-t-butyl ether by reacting isobutylene and methanol in the presence of a heteropoly acid of molybdenum, tungsten or vanadium. Other tertiary ethers may be obtained by substituting a different tertiary olefin for isobutylene, e.g. t-amyl methyl ether from 2-methylbutene-2 and methanol."
48,209490,4038183,"The invention provides a continuous cooking method, i.e., flow cooking, for pulp, in which method pulp-containing fibrous material is continuously fed into a digester under elevated pressure, characterized in that between the digester proper and the block feeder, a zone, appropriately an absorption zone, is arranged. The zone contains blocking solution that prevents the sulphur dioxide gasified from the cooking zone from entering onto the feeder of the digester and from thereby coming into contact with unabsorbed chips. The invention provides precise control of the variables in the process."
49,209494,4225650,"The amplitude of the variations in the power drawn by a crusher motor is dependent on the crushing gap in the crusher, other parameters such as ore feed rate etc. remaining constant. In accordance with the invention, this phenomenon is used to set the crushing gap. The power drawn by the motor is monitored and the amplitude of the variations of the power drawn is used as a basis for determining whether the existing crushing gap is too great or too small."
50,209576,4382203,"The present invention relates to a compound represented by the structural formula I: Í! its pharmaceutically acceptable salt or ester, or its crystalline, which is a novel optically active compound useful as a curing agent for bacterial infections, a process for production thereof and a use thereof."
51,211018,5801213,"A cosmetic or toiletries composition for topical application containing a polymer of the following formula as a lubricating agent: in which: (a) R1 and R5 are terminal groups and may be hydrogen or lower alkyl having 1 to 3 carbon atoms; (b) R2, R3 and R4 are hydrogen or lower alkyl having 1 to 3 carbon atoms; (c) R6 is a divalent alkylene radical which may be a straight chain or a branch chain and which has from 2 to 6 carbon atoms; (d) M is a cation; and(e) n is an integer said polymer having an average molecular weight in the range of from about 50,000 to about 1,000,000."
52,430882,23515129,"5575. Deutsche Waffen-und Munitionsfabriken. Feb. 20, [date applied for under Patents Act, 1901]. Ball bearings; ; lubricating.-Relates to cages used to separate the balls in ball bearings. Telescopic end-plates e, f, Figs. 1 and 2, contain a spring h and, if desired, lubricating-packing i, notches in the end-plates engaging straps l, k secured to the nearly circular cage ring c so as to limit the expansive and contractive tendency of the spring. Plates d, shaped as shown in Fig. 1, may be employed to take any wear if the whole ring c should move. A spring ring g fits under the straps l to secure the whole in place."
53,443536,9669489,"Method of increasing the lifetime of electrical incandescent lamps, in which after the brightness has decreased, one or more parts of the filament are shorted so as to restore the original brightness."
54,459059,9763759,Rapidly setting composn. suitable for trough cladding or tap-hole plugs of blast furnaces with a long storage life made by mixing as binder for a stone meal 5% of hexamethylenetetramine with 95% of a distillation residue (obtained from the phenol synthesis by the cumene process) rich in phenolics. The binder is mixed with the other ingredients and the mixture cured after forming at about 400 degrees C. Novolaks are not required.
55,490428,23584773,"15,910. Radermacher, J. L. Nov. 16, 1908, [Convention date]. Connexions and attachments applicable generally for tensile and compressive springs; helical springs. - Consists in forming furniture springs with oppositely-disposed hooks A, B, C adapted to grip an edging G and to be engaged therewith by a snapping action. In a modification, two hooks only may be employed."
56,493126,23602148,"16,273. Ruth, R. July 10, 1909, [Convention date]. Colour photography; screens.-Fine grains of coloured particles for making colour screens are obtained by scattering coloured solutions of a resin or colloid in a chamber having a suitable temperature in such a manner that, in descending through a sufficient height, they are converted into fine powders. The powders can be collected and mixed with others of the different colours before application to a sticky plate, or they may alternatively be applied to the plate direct."
57,496113,23603298,"18,340. Phinney, A. Aug. 3. Keyless mechanism; cases, clock.-In a clock particularly adapted for use on automobiles, the movement is attached to the base of an outer casing 6 and enclosed by an inner rotatable casing 15, which has an annular wheel 16 at its rear end gearing with a pinion 17 on the winding-arbor, Fig. 3. Winding is effected by turning the bezel 7, which is screwed to the casing 15, and which also carries a reflector ring 10 pressing on the dial. The ends of a flat spring 20, secured to the outer casing, rest upon the toothed ring 16, to prevent rattling. Fig. 4 shows a modification, in which the movement is supported by a back plate 31 having a stud 32 which is held in a socket 33 in the back of the outer casing. The inner casing may be provided with a screw cap 37, between which and the plate 31 the flat spring 20b is disposed."
58,504143,10118159,"The material consists of a substrate coated with a thin, continuous, coherent layer of Hg where at least that part of the substrate carrying the Hg is pyrolytic graphite to which 9 x 10-12 to 1.3 x 10-9 gram atoms Hg/cm2 are chemically bonded to the outer C-atoms; the crystal grating plane of the graphite is pref. parallel with the coated surface. Before forming the Hg layer using Hg++ions, hydrogen atoms are deposited on the surface of the graphite either by heating in H2 or abrading the surface in a hydrocarbon liq. with 5-20 C-atoms in the absence of air. The soln. used to deposit Hg is mercury perchlorate dissolved in a mixt. of trifluoroacetic acid (I) and trifluoroacetic -anhydride (II) and Hg is then deposited electrolytically on top of the chemically deposited layer to give an Hg thickness of 0.1-2 mu. An electrode for determn. of trace metals, e.g. Pb or Cd down to concns."
59,507246,23642145,"26,032. Haake, F. Nov. 16, 1911, [Convention date]. Thrashing-machines.-Oil-palm fruits and the like are removed from their bearing-heads by a revolving beater against which the heads are pressed by pushing forward a movable frame or carriage to which they are secured by gripping- appliances. The beater consists of a rotary shaft A provided with arms C which pass through a grating D beneath which a sifting-appliance is placed. The grippers consist of toothed arms G pivoted on the movable carriage F and passing through a guard and retaining-plate J. They are normally drawn downwards by springs L. The pressure of the springs may be relaxed and the arms G lifted by raising a lever M."
60,514046,10195114,The fruit is fed to the distributor by means of a belt elevator which takes the fruit and feeds in into a belt which then transfers it to an endless elevator with buckets at regular intervals. The fruit is discharged into the chute (36). The fruit landing on the travelling belt is forced through a number of gates which operate automatically to allow the fruit through them in rows. The belt then transports the fruit onto the final stage which consists of a number of channels fitted with sides. The fruit is discharged in batches to the packing boxed
61,519577,23632541,"9499. Siemens & Halske Akt.-Ges. April 21, 1911, [Convention date]. R÷ntgen-ray apparatus.-The excitation of a R÷ntgen-ray tube is produced by suddenly commutating the continuous current flowing in the primary windings of a transformer or induction coil. Rapid successive discharges are obtained by means of an interrupter or a rectifier for the secondary current in conjunction with a rotating commutator of the transformer or induction coil. Fig. 1 shows apparatus for a single discharge in which the current in the primary winding p is increased as the arm 1 is moved over and the resistances 9 are cut out. The current is reversed when at its maximum strength as the arm passes over the insulated block 13, and is reduced to its normal value as the corresponding resistances 9<a> are switched in. Fig. 2 shows the use of a commutator K with an interruptor S, whose moving parts 25, 26 are driven synchronously with the commutator, and arranged so that current passes through the secondary s only when the primary current is being commuted in one given direction. Alternatively, a rectifier may be used in the secondary circuit arranged so that the impulses due to the commutations of the current in both directions can be utilized."
62,526710,23654116,"16,186. Arndt, M. July 13, 1912, [Convention date]. Void, [Published under Section 91 of the Act.] Thermometers; calorimeters. - A radiator system is connected with automatic recording- means for recording the number of heat units transmitted by the radiators. The radiators A, B, C, &c., which may be supplied from the same or separate sources of heat, have arranged on them hollow bodies Va, Vb, &c. containing air and connected to an arm L of a U-shaped tube, the other arm 5 of which is open to the atmosphere and contains a recording float 10. At the bottom of the U-tube is a chamber 3, which opens into a tube 2, the month of which opens beneath the surface of mercury in a chamber 1 and is adapted to be closed by a valve 9 operated by a float 7 in the air chamber 6 of the U-tube. The chamber 1 is connected by a tube d, with a closed water cistern W<1>, which can be filled by a pipe W<2> and emptied by a siphon W<3>. The float 10 is suspended by a cord 11. which is wound round a pulley 11 of a recording - device 17, the cord being counterweighted, and the recording-mechanism recording only the upstrokes of the float 10. To give warning after a certain quantity of heat has been registered, the recording device drives through gearing 20 a cam-disk 23, which is adapted after one revolution to operate a tumbler lever 25 and complete the circuit of an electric bell 41 or an annunciator 43. This device is automatically put out of action when the liquid in the arm 5 drops below the contact 48 as the cistern W<1> is being siphoned. The action of the apparatus is stated to be as follows:-The U-tube and the chamber W<1> being open to the atmosphere, water is turned on or the cistern starts filling, trapping air at its top and over the mercury in the cup 1, which is thus forced up the tube 2 into the U-tube, until the valve 9 closes, and the float 10 is arranged for this position to be just on the point of lifting and thus gives the zero reading, the same amount of air in the chamber 6 and tubes L being always entrapped. When the radiators are turned on, the air in the chambers Va &c. expands and transmits the pressure to the mercury and thus to the water cistern and varies the height in the water-supply pipe and also lifts the float 10, thus actuating the counter 17, which may be graduated to give the price of the heat radiated. As soon as the water reaches the level of the top of the siphon pipe, the cistern W<1> is emptied and the operation starts again. Any number of recording-devices may be connected by pipe D to the water cistern, and water may be used instead of mercury or oil, glycerine, &c., in which case a mercury device, as shown in Fig. 3, is employed to dispense with a long stroke of the float. The float 10 then lifts to a height h<2> which is in the ratio of the specific gravities of the fluid and mercury."
63,540536,23669544,"13,540. Junghans Akt. - Ges., Geb. May 4, [Convention date]. Driving - mechanism, weight. - Relates to an arrangement of the kind in which a clock, having an attached weight, moves downwardly along a vertical rack, the weight of the clock and its attachment providing the driving-force during the descent. According to this invention, the attached weight a is provided in a stirrup b on one side of the rack f, so as to maintain the driving- pinion d in engagement therewith. A roller a bears on the rear side of the rack. The clock movement is mounted in the stirrup b or a transverse arm c. The stirrup has a slot e through which the rack passes, so that the clock may be tilted to disengage the pinion from the rack in order to enable the clock to be lifted after its descent."
64,544214,23655580,"18,673. Siemens Bros. & Co., [Siemens & Halske Akt.-Ges.]. Aug. 16. R÷ntgen-ray apparatus.-For obtaining instantaneous p h o t ographs by R÷ntgenrays, means are described by which, for a single exposure, the secondary voltage of a transformer energized by an alternating current is impressed on the tube for approximately the duration of a single period or less of the alternating current. To obtain the best effect, the primary circuit is closed at the moment when the e voltage through the supply mains is passing through zero value, and is opened again when the induction is at its maximum value. The means described are also adapted for kinematograph exposures. In one apparatus, the primary circuit includes a time-switch z, Fig. 1, which is closed by hand, and a rapidly rotated interrupter with a contact-segment s. The time-switch breaks the primary circuit within the interval of one complete revolution of the interrupter u, and by adjusting the segment s to the fraction of the interval during which the primary circuit is closed, the exposure can be made to correspond to a single period or less of the alternating- current cycle. A time-fuse s<1>, Fig. 3, may be substituted for the time-switch, and in order to complete the secondary circuit for any particular interval of and at any particular phase of the alternating current, a high-tension interrupter with contact-arms c', c<2> and contactsegments a<1>, a<2>, b<1>, b<2> may be used. These contact-segments may be adjustable in length and disposition. In lieu of an interrupter, a high-tension rectifier may be used, so that the discharge through the tube may be in the same direction during the whole period of the alternating current. For kinematograph exposures, a contact-apparatus, such as that shown in Fig. 3, is rotated synchronously with the alternating current and connects the secondary terminals of the transformer and the electrodes of the Rontgen-ray tube for a half-period and repeats this connexion with intervals of rest which are odd multiples of a half - period. Alternatively, the primary circuit of the transformer may be periodically closed for the duration of a period of the alternating current, by an arrangement such as that shown in Fig. 1, while by means of a synchronously rotating device, such as is shown in Fig. 3, or by a rectifier, the R÷ntgen-ray tube is energized in known manner, by current impulses from the same circuit, which are always in the same direction. The time-switch z can be adjusted to allow as many exposures as are required. In a device for closing the primary circuit at the zero or any phase of the primary current and for any interval, two insulated contactsegments i, j, Figs. 6 and 7, are relatively adjustable and are bridged by contact-brushes c mounted on a rotating arm a. The arm is loosely mounted on a shaft w and rotated by a spring f. In the position shown in Fig. 6, the arm a is held by the spring f against the armature c of an electro-magnet r carried on an arm t. This arm is adjusted by adjusting vertical arms which project through slots q in the cover p, and this also adjusts the position of other contacts x<1>, x<2>, y<1>, y<2>, which arc connected as shown in Fig. 7. On rotating the arm shaft w by the handle h, the arm d is rotated behind a spring catch k<2>, and the contact v makes contact with the contact y<2>, thereby closing the circuit containing the switch H and electro-magnet r. This action draws the armature c from the stop on the arm a, and contacts e rotate under the influence of the spring f. The brushes e complete the primary circuit for a period determined by the relative adjustment of the contacts i, j. The contact j is adjusted by gearing n. The movement of the arm a breaks the circuit through the electromagnet r, and the arm d has to be again rotated through 180 degrees to complete the circuit through the contacts y<1>, v, x<2>, u, and bringing the arm d behind the catch k<1>. A series of impulses can be obtained by continuously rotating the handle h, and the phase at which the primary circuit is completed is determined by the length of path travelled by the arm a rotating under the action of the spring f, and is adjusted by adjusting the position of the arm t relatively to the contacts i, j."
65,545418,20958458,"156,554. Reiniger, Gebbert, & Schall Akt.-Ges. June 23, 1915, [Convention date]. Transformers; Commutator switching-arrangements.-In order to avoid harmful charging of R÷ntgen-ray tubes, particularly ' hard ' tubes, the electrodes of the tubes are each connected with one terminal of two sources of current such as the transformers a, b, the other terminals of the transformers being connected to the rotating switch e or other device controlling the current supplied to the tube. The switch e may be rotated synchronously with the rotary interrupter f. The rotary switch may, in addition to the rotary conductor i, Fig. 2, which substantially bridges the gap between the stationary conductors h, have an additional conductor k with brushes l which sweep in contact with the conductors h in the interval between the E.M.F. impulses in the secondary circuit."
66,549677,23666063,"7281. Signal Ges. Nov. 6, 1913, [Convention date]. Sirens.-A subaqueous siren has its rotor R internally of the stator, which is U-shaped to guide and support the valve V. In a modified form, having a disk rotor, the stator similarly encloses the valve."
67,551489,20964973,"156,678. Reiniger, Gebbert, & Schall Atk.-Ges. Jan. 12, 1916, [Convention date]. Addition to 156,554. Transformers; commutator switching-arrangements.-Relates to a modification of the current supply system described in the parent Specification. The rotating conductor of that system controlling the intermittent current impulses is replaced by a spark gap, the length of which is adjusted that it is only broken down by a voltage not far short of the maximum value of the available voltage supply. The slow rays and soft R÷ntgen rays occurring at low voltages are thereby largely suppressed giving a hard and homogeneous radiation. To increase still further the suddenness of the formation and extinction of the spark, the spark gap may be immersed in hydrogen-containing gases or vapours; or several spark gaps in series may be used: or again a part of the spark gap electrodes may be caused to rotate in synchronism with the E.M.F. of supply or may otherwise periodically be made to approach and' recede from the remaining electrodes."
68,565297,21791068,"145,083. Szczeponik, E. June 11, 1917. [Convention date]. Valve-discharge water-waste preventers; protecting from frost.-A normally-empty cistern is fitted with a downwardly-opening discharge valve l having a stem slotted at f and g. An adjustably weighted arm k is mounted on the same spindle i as two arms at right-angles and adapted to engage with the slots. When the handle is pulled the valve l is closed, the supply valve a, is opened, and the weight thrown over so that the lower arm supports the valve in closed position. When the weight of water on the valve reaches a certain magnitude the weight is thrown back, and, the upper arm x engaging the slot f, the valve l is opened. Simultaneously the supply valve is closed. The valve a may be situated in an adjoining room."
69,567395,21885232,"147,071. Vollbrot Verwertungs-Ges. Nov. 9, 1915, [Convention date]. Stationary batch mixers with rotary stirrers.- Apparatus for preparing dough direct from corn comprises a trough which can be tipped laterally in both directions and which contains stirrers and beaters, and a roller mill. In the trough 1 the corn is first washed, water being admitted from the pipe 18 and the beaters 20 and stirrers 25 put in motion. The beaters 20 consist of parallel blades, the blades of one beater being at rightangles to those of the next. The stirrers 25. which move more slowly, sweep the trough and direct the corn towards the beaters, and cause a current of water at the surface towards the overflow channel 13. The washing-water is afterwards discharged through this channel and the gutter 15 and pipes 16, 40, by tilting the trough 1, the cover 4 being closed and the corn being retained by a grating 17. The corn is then seaked causing it to swell and loosen the husk by admitting warm water by the pipe 18. The husks are detached by the beaters 20 and are floated off and carried to the overflow 13, the pipe 16 being turned to discharge on to the sieve 35 which retains the husks, the water with suspended starch passing through into a settling tank 34 from which the starch and supernatant liquid can be drawn off separately. The husked corn is then tipped from the other side of the trough 1 into a truck 41 by which it is carried to the feed hopper 44 of a roller mill."
70,569328,16463154,"A device for the transfer of one or more substances between a gas and a liquid, the gas being introduced into the liquid in the form of bubbles from which the said substances are transferred to the liquid whereupon the excess gas is removed together with any substances transferred from the liquid to the gas. Characteristic for the device is a narrow annular gap (10), arranged vertically, for the liquid, a gas inlet (20), arranged in close connection to this gap (10), this gas inlet being adapted so that it introduces the gas uniformly distributed along the whole periphery of the gap (10), and means (34, 36) for the removal of the excess gas. …<??>The device is intended in particular to be used as a so-called oxygenator when the said liquid is blood and the said gas is oxygen or an oxygen mixture. Carbon dioxide from the blood will then be removed together with the excess gas."
71,574512,4227604,"A multiplier for obtaining the product of two elements in the field GF(2m) utilises the normal basis representation of each element. The product is also represented in normal basis form with each binary digit of the bit vector being determined by a sum of the product of the binary digits representing the two elements. By grouping like ones of one of the binary digits in the expression for the binary digit of the product and offsetting the suffixes of the binary digits, it is possible to accumulate grouped terms of each of the binary digits of the product simultaneously."
72,574517,47047037,"An axial compression device for the fixation of a fractured bone comprises an assembly including a lag screw (10) and a retaining member (40) secured to bone fragments (A, C) on opposite sides of a fracture and an angled slide member (20) adapted to be connected to the lag screw (10) and cooperable with the retaining member (40) for providing a compressive force between the bone fragments (A, C). The lag screw (10) and angled slide member (20) are especially adapted to achieve simultaneous fixation of a secondary fracture which may also be present."
73,574528,15338498,"A building structure comprises interconnectable building elements 1, 2, 3, which building elements 1, 2, 3 comprise, for interconnection, female and male edge portions 4, 5 for engagement with adjacent building elements 1, 2, 3. The building elements 1, 2, 3 are formed by two rigid surface layers 6, 7 and a continuous insulating layer 8 located therebetween. The male edge portions are formed by the substantially continuous insulating layer 8 and by the two rigid surface layers 6, 7, each of which comprises a step 9, on the surfaces 10, 11 facing away from the insulating layer 8 in the transition between the male edge portions 4 and the other portions of the building elements 1, 2, 3. The female edge portions 5 are formed by solely the two rigid surface layers 6, 7 which are so adapted that they bear against the steps 9 and that their surfaces 10, 11 facing away from the insulating layer 8 form flat surfaces in the transitions between adjacent building elements 1, 2, 3, the continuous insulating layer 8 in a building element 1, 2, 3 bearing directly against the continuous insulating layer 8 in an adjacent building element 1, 2, 3, so that a substantially continuous insulating layer 8 is formed in the building structure. <IMAGE>"
74,574586,47065159,"A protective facial mask (10) covering the oral and nasal cavities. It slips over the user's head and comprises a single generally cylindrical, generally tubular, piece of an expandable impervious material (12) open at each end. Two diametrically opposed ear slots (14) and an opening (16) below and extending between the ear slots hold the mask in place and provide for better conformity to the user's head. A filtered breathing cannula (18) on the interior of the mask allows air to enter the nasal cavity only."
75,574649,16697927,"Fluid is prepd. by blending diester cpd. of formula (I) or its deriv. (A' = -COO- or -OOC-; n = 1-6; R1 = at least one of H and 1-8C alkyl gps.; R2 = one or more of 1-3C alkyl gps.). (I) are pref. those with R1 being one or more of H and 1-4C alkyl gps., n = 1-3, and R2 being CH3-."
76,574660,47067179,"An exercise apparatus (10) that simulates stair-climbing, which includes a frame (14) having a base (16, 18 and 20) and a plate (26) on the frame perpendicular to the base. A right pedal (40) and an independently operated left pedal (42) are on opposite sides of the plate (26). A drive system assembly (78) on the plate has a right sprocket (76) or left sprocket (94) turn the drive sprocket (108) in one direction only and the right and left sprockets are free to overrun in the opposite direction. A speed increasing transmission (132) has an input (130) and an output (134). A continuous chain (126) drivingly engages the drive sprocket (108) and the transmission input (130). A continuous belt (148) engages the transmission output (134) and an alternator (138) which acts as a dynamic brake. A load resistor connected to the alternator (138) is capable of absorbing the electrical energy output of the alternator (138). An alternator control and monitor (152) is provided."
77,574675,47063964,"Improved therapy members useful for treating of sprains, muscle aches, orthopedic and skin injuries such as burns and other wounds are provided which make use of a pliable, self-sustaining, moisture sorbing gel including a humectant such as glycerin entrapped within a synthetic resin polymer matrix (e.g., a matrix containing acrylic acid or acrylamide monomer moieties). In one preferred embodiment, a body of the gel is encased within heat and moisture-permeable stretch fabric, and securing ties or the like are provided to permit the composite to be conformed to a body part and held in place. In use, such therapy wraps are either heated (as in a microwave oven) or refrigerated, so as to provide appropriate thermal treatment; it has been found that the preferred gel of the invention retains its pliability and other physical properties over a very broad temperature range, such as -20 to 350 DEG F., and therefore the wraps of the invention can be used in many treatment contexts. It has also been discovered that the gel material can be applied directly to injured skin to in effect create a temporary skin with ideal air permeability. Furthermore, the moisture absorbing and desorbing properties of the gel create a moisture equilibrium between the gel, damaged skin and the atmosphere, thus promoting rapid healing."
78,574690,11027378,"Optical data recording material comprises a cpd. having a pi-electron system and one or more substits. with electron donor or electron acceptor properties, dispersed with a binder and mounted on a substrate; such that the cpd. exhibits a characteristic optical absorption peak which is displaced to longer wavelengths after absorption of light of wavelength within that characteristic peak region. Typical cpds. are substd. anthraquinones, pref. with two or more OH and/or NH2 substits. at positions 1,4 and/or 5,8."
79,574739,47086339,"For use in an electronic security system, an antenna system which provides a magnetic field which is substantially zero at distances large compared to the dimensions of the antenna, and has magnetic coupling between transmitting and receiving antennas which can be readily predetermined by varying the relative sizes of the antenna loops. The size and shape of the detection pattern can also be readily predetermined by varying the relative sizes of the antenna loops. Preferably, the transmitting and receiving antennas each comprise three magnetic loops lying in a single plane, the center loop (32) having having magnetic phase which is in phase opposition to that of the upper (30) and lower (34) loops. The sum of the three magnetic dipoles is equal to zero to provide a net magnetic field as seen from distances large compared to the antenna dimension, which is substantially zero."
80,575126,4422381,"SNOW LUGE A luge (10) for tobogganing on snow comprises an integrally moulded body member (12) having a front end and a rear end. The body member (12) comprises a pair of spaced runners (14) extending from the front to the rear ends thereof. A single bridge portion (16) extends between the runners (14) and is moulded integrally with the runners (14). A projection (26) extends rearwardly of the bridge portion (16) and is moulded integrally with the body member (12). The projection (26) is provided with a formation for engaging with snow when the body member (12) is tilted rearwardly, thereby to effect braking of the movement of the luge (10) over the snow."
